APPROVAL_TYPE,PROJECT_PROCESSING_CODE,n_permits,median_days_to_issue,avg_days_to_issue,p90_days_to_issue,median_valuation,avg_valuation,n_with_valuation
Elec. Utility Undergrnd. Prgm,Standard,401,0.0,0.0,0.0,,,0
Elec.-UG Program-City only    ,Standard,3982,0.0,1.9907081868407834,7.0,,,0
No-Plan - Nonresidential/Multifamily - Mechanical,,2060,0.0,2.016990291262136,1.0,,,0
No-Plan - Residential - Combination Mech/Elec/Plum,,16224,0.0,2.6425445355359676,1.0,,,0
Photovoltaic - SB 379,,11321,0.0,2.9485820302146832,3.0,,,0
No-Plan - Nonresidential/Multifamily - Plumbing,,2423,0.0,1.9768881551795294,2.0,,,0
No-Plan - Nonresidential/Multifamily - Electrical,,2687,0.0,6.652772608857462,20.0,,,0
Approval - Construction - Electrical Pmt - PV Combo,Standard,758,1.0,29.319261213720317,99.20000000000027,,,0
Plumbing Permit ,Standard,175,1.0,276.0643274853801,803.0,0.0,0.0,0
Approval - Construction - Electrical Pmt - PV Combo,,485,1.0,9.6,31.0,,,0
Subdivision Improvement Agreement,Express,7,7.0,9.571428571428571,16.4,,,0
Traffic Control Permit,,247,7.0,22.048582995951417,55.80000000000001,,,0
Fire Permit - Alarm,Express,8,10.5,149.0,390.89999999999986,,,0
Approval - Construction - Electrical Pmt-PV Combo,Standard,163,13.0,22.2760736196319,56.0,,,0
Temporary Use Pmt,Standard,23,14.0,33.30434782608695,43.60000000000001,,,0
Zoning Use Certificate,Standard,7,15.0,158.14285714285714,447.60000000000014,,,0
Approval - Construction - Fire Pmt - Alarm,Standard,1301,18.5,41.856923076923074,90.0,,,0
Approval - Construction - Fire Pmt - Suppression,Standard,1026,21.0,49.36328125,119.0,,,0
Approval - Construction - Fire Pmt - Kitchen Hood,Standard,98,21.5,51.265306122448976,122.49999999999999,,,0
Approval - Construction - Fire Pmt - Alarm,,8,22.0,22.0,22.0,,,0
Approval - Construction - Fire Pmt - Alarm,Expedite,19,24.0,154.6315789473684,232.39999999999978,,,0
Approval - Construction - Fire Pmt - Kitchen Hood,Express,137,26.0,46.46715328467153,109.60000000000005,,,0
Approval - Construction - Sign Pmt,Standard,470,27.0,47.856531049250535,111.0,9000.0,66971.07142857143,7
Approval - Construction - Fire Pmt - Alarm,Express,1470,29.0,61.55934515688949,160.0,,,0
Fire Permit - Underground,Standard,11,30.0,161.0,370.0,,,0
Approval - Construction - Fire Pmt - Suppression,Express,1491,43.0,103.92818791946308,295.0,,,0
Approval - Construction - Right Of Way Pmt-Const Plan,Standard,1783,43.0,118.77978543195934,348.0,,,0
Approval - Construction - Right Of Way Pmt-Const Plan,Express,744,46.0,108.0686406460296,278.6000000000005,,,0
Sign Permit,Standard,8,51.0,110.25,259.69999999999993,20000.0,20000.0,2
Fire Permit - Alarm,Standard,27,52.0,114.41666666666667,322.69999999999993,,,0
Street Address Change,Standard,13,55.0,194.36363636363637,445.0,,,0
Right Of Way Permit-Const Plan,Standard,406,57.5,162.12871287128712,480.79999999999995,0.0,162.16216216216216,1
Approval - Construction - Fire Pmt - Underground,Standard,37,63.0,94.64864864864865,194.79999999999998,,,0
Map - Certificate of Compliance,Express,10,64.5,83.0,152.49999999999997,,,0
Approval - Construction - Fire Pmt - Suppression,Expedite,16,76.0,151.5625,371.5,,,0
Approval - Construction - Demolition Pmt,Standard,675,77.0,187.90563165905633,461.4,56000.0,56000.0,1
Approval - Construction - Fire Pmt - Underground,Express,141,80.5,127.83333333333333,299.59999999999997,,,0
Building Permit,Standard,2741,85.0,155.93921640424753,390.0,44605.5,393070021.5429144,2545
Fire Permit - Suppression,Standard,33,85.5,232.43333333333334,589.4000000000004,,,0
Plumbing Pmt,Standard,1494,92.0,141.14314516129033,363.0,12250.0,12250.0,2
Electrical Pmt,Standard,2635,92.0,143.26894959599846,353.6000000000008,147500.0,365837.12727272726,22
Mechanical Pmt,Standard,1440,97.0,154.22857142857143,379.0,200000.0,774966.6666666666,3
Approval - Construction - Fire Pmt - Suppression,,8,99.0,99.0,99.0,,,0
Approval - Construction - Fire Pmt - Underground,Expedite,7,104.0,156.85714285714286,264.00000000000006,,,0
Map - Certificate of Correction,Standard,45,121.0,210.15555555555557,489.8000000000002,,,0
Approval - Construction - Grading Pmt-Private,Express,9,125.0,211.33333333333334,443.40000000000003,,,0
Right Of Way Permit-Const Plan,Express,180,126.5,202.37078651685394,466.20000000000005,0.0,0.0,0
Fire Permit - Underground,Express,9,131.0,376.875,955.3,,,0
Map - Certificate of Correction,Express,8,133.0,155.5,292.3,,,0
Combination Building Permit,Standard,8991,136.0,190.68318268050442,434.0,62954.6,109797.80008659592,8197
Deferred Document Review,Express,11,156.5,156.5,221.7,,,0
Electrical Pmt,Express,2657,157.0,208.35294117647058,424.5999999999999,110500.0,243218.0,25
Plumbing Pmt,Express,1547,176.0,232.07858546168958,468.4000000000001,,,0
Mechanical Pmt,Express,1523,178.5,233.34840425531914,466.0,30000.0,30000.0,1
Building Permit,Express,2553,182.0,248.44637223974763,499.5,234246.515,2760723.8302103006,2329
Map - Easement Dedication,Express,76,191.5,283.5657894736842,527.5,,,0
Map - Irrevocable Offer of Dedication,Express,18,201.5,271.77777777777777,592.3000000000001,,,0
Map - Certificate of Compliance,Standard,9,202.0,216.77777777777777,387.40000000000003,,,0
Map - Irrevocable Offer of Dedication,Standard,9,204.0,243.44444444444446,432.40000000000003,,,0
Approval - Construction - Right Of Way Pmt-Const Plan,Expedite,5,206.0,232.0,397.8,,,0
Map - Covenant of Easement,Express,14,222.5,234.14285714285714,341.6,,,0
Map - Parcel Map,Express,34,230.5,289.97058823529414,494.69999999999993,,,0
Map - Public Right of Way Dedication,Express,84,231.0,312.1686746987952,641.1999999999999,,,0
Demolition Permit,Standard,7,242.0,335.1666666666667,579.5,0.0,0.0,0
Combination Building Permit,Express,939,248.0,281.80810234541576,599.0,382565.04,596752.1008073394,545
Construction Change - Building,Standard,24,259.0,259.0,259.0,0.0,0.0,0
Grading Permit,Express,37,262.0,343.1818181818182,654.0,0.0,0.0,0
Map - Covenant of Easement,Standard,9,281.0,370.77777777777777,783.8000000000001,,,0
Approval - Construction - Grading-Right of Way Pmt,Express,33,292.5,302.1333333333333,535.6000000000001,,,0
Approval - Construction - Grading-Right of Way Pmt,Standard,10,310.0,278.3,510.3999999999999,,,0
Approval - Construction - Grading Pmt,Express,25,313.0,391.5217391304348,711.2,,,0
Approval - Construction - Right Of Way Pmt,Express,34,315.5,317.875,539.9,,,0
Approval - Construction - Right Of Way Pmt,Standard,29,321.0,313.037037037037,525.0000000000002,,,0
Combination Building Permit,Expedite,190,324.0,332.81767955801104,579.0,146964.18,161236.01023121388,173
Grading Permit,Standard,23,331.0,622.1764705882352,1273.6,0.0,0.0,0
Right Of Way Permit,Expedite,6,366.5,368.8333333333333,507.5,0.0,0.0,0
Right Of Way Permit,Express,45,371.0,394.3170731707317,698.0,0.0,0.0,0
Map - Easement Dedication,Standard,47,373.5,428.3863636363636,820.5000000000002,,,0
Approval - Construction - Grading Pmt,Standard,16,376.5,391.42857142857144,647.2000000000002,,,0
Electrical-Photovoltaic,Standard,7,378.0,420.0,803.0000000000001,7500.0,7500.0,1
Map - Final Map,Express,11,378.0,477.09090909090907,917.0,,,0
Electrical Permit,Standard,137,394.0,414.1268656716418,902.7,,,0
Subdivision Improvement Agrmnt,Express,5,403.0,487.6,790.0,0.0,0.0,0
Right Of Way Permit,Standard,46,406.0,438.57894736842104,711.3000000000002,0.0,0.0,0
Grading + Right of Way Permit,Express,43,409.0,436.675,655.3000000000001,0.0,0.0,0
Map - Public Right of Way Dedication,Standard,42,409.5,431.5,785.3,,,0
Grading Permit - Private,Express,5,414.0,405.0,446.2,0.0,0.0,0
Map - Final Map,Standard,5,419.0,509.4,820.0,,,0
Map - Lot-Line Adjustment,Standard,8,427.0,537.5,882.8,,,0
Grading + Right of Way Permit,Standard,43,427.5,515.8157894736842,1149.2000000000003,0.0,0.9736842105263158,1
Electrical Permit,Express,161,439.0,487.4810126582278,934.6,,,0
Fire Permit - Suppression,Express,24,447.0,340.875,465.0,1482575.8,988383.8666666667,4
Mechanical Permit,Standard,94,450.0,447.8021978021978,880.0,,,0
Plumbing Permit ,Express,136,450.5,483.32089552238807,918.6,,,0
Mechanical Permit,Express,126,454.5,495.6693548387097,912.1,,,0
Grading Permit,Expedite,5,496.5,599.25,966.9000000000001,0.0,0.0,0
Electrical-Photovoltaic,Express,7,568.0,533.8571428571429,911.8000000000003,,,0
Map - Parcel Map,Standard,44,571.5,575.2045454545455,985.1,,,0
Spectrum Act Permit,Express,59,586.0,588.9827586206897,983.1000000000003,,,0
Grading Permit - Private,Standard,7,614.0,646.0,942.4000000000001,0.0,0.0,0
Building Permit,Expedite,102,616.5,840.3333333333334,1687.0,489417.39,2563650.9209836065,60
Electrical Permit,Expedite,30,635.5,681.2857142857143,989.0,,,0
Map - Lot-Line Adjustment,Express,5,691.0,638.0,932.6,,,0
Plumbing Permit ,Expedite,29,700.0,693.8888888888889,989.0,,,0
Mechanical Permit,Expedite,30,749.0,712.3214285714286,1001.6,,,0
Electrical Pmt,Expedite,58,1398.0,1054.2105263157894,1687.0,,,0
Plumbing Pmt,Expedite,51,1398.0,1075.9,1687.0,,,0
Mechanical Pmt,Expedite,50,1398.0,1070.9183673469388,1687.0,,,0
Construction Change - Building,Express,7,,,,,,0
Electrical Pmt,,5,,,,,,0
Storm Water Maintenance Agrmnt,Standard,5,,,,,,0
Transportation Permit,,381,,,,,,0
